wavenum,freq,power
-144.0,-0.5,2.031368356462279e-09
-144.0,-0.49444444444444446,8.902813155985525e-10
-144.0,-0.4888888888888889,2.286702758640823e-09
-144.0,-0.48333333333333334,8.144091194853247e-10
-144.0,-0.4777777777777778,8.278522975270737e-10
-144.0,-0.4722222222222222,1.8693763826163955e-09
-144.0,-0.4666666666666667,2.4741571007213838e-09
-144.0,-0.46111111111111114,1.0677840535677438e-09
-144.0,-0.45555555555555555,1.7731220322435087e-09
-144.0,-0.45,4.754029233252888e-10
-144.0,-0.4444444444444444,1.6519022910269184e-09
-144.0,-0.4388888888888889,9.882326377894158e-10
-144.0,-0.43333333333333335,1.4742433197549814e-09
-144.0,-0.42777777777777776,1.1367703942353164e-09
-144.0,-0.4222222222222222,7.685893456359072e-10
-144.0,-0.4166666666666667,1.2202686167289315e-09
-144.0,-0.4111111111111111,1.2324832110326913e-09
-144.0,-0.40555555555555556,1.6374136388072683e-09
-144.0,-0.4,9.288078992327553e-10
-144.0,-0.39444444444444443,2.0225856466387383e-09
-144.0,-0.3888888888888889,1.2735463748841532e-09
-144.0,-0.38333333333333336,2.58004588165996e-10
-144.0,-0.37777777777777777,6.476996312765279e-10
-144.0,-0.37222222222222223,1.3411346967804773e-09
-144.0,-0.36666666666666664,1.5920956595296089e-09
-144.0,-0.3611111111111111,9.206136280441764e-10
-144.0,-0.35555555555555557,1.3511586957868605e-09
-144.0,-0.35,1.379199226356309e-09
-144.0,-0.34444444444444444,4.945854444625119e-10
-144.0,-0.3388888888888889,4.068761605932393e-09
-144.0,-0.3333333333333333,2.7445716151004222e-09
-144.0,-0.3277777777777778,1.057613744541677e-09
-144.0,-0.32222222222222224,1.205528121387759e-09
-144.0,-0.31666666666666665,1.4061043837070767e-09
-144.0,-0.3111111111111111,2.516126338400491e-09
-144.0,-0.3055555555555556,1.3076226080880104e-09
-144.0,-0.3,1.8503637243664888e-09
-144.0,-0.29444444444444445,6.300472002791057e-09
-144.0,-0.28888888888888886,1.685267272428853e-09
-144.0,-0.2833333333333333,3.2845966309714695e-09
-144.0,-0.2777777777777778,1.7845327802051327e-09
-144.0,-0.2722222222222222,5.152294286328553e-09
-144.0,-0.26666666666666666,1.339109446387258e-09
-144.0,-0.2611111111111111,4.123411845950795e-09
-144.0,-0.25555555555555554,5.52621005956157e-09
-144.0,-0.25,8.57366652617057e-10
-144.0,-0.24444444444444444,9.18539614270207e-10
-144.0,-0.2388888888888889,2.626190242239716e-09
-144.0,-0.23333333333333334,3.1810250622090045e-09
-144.0,-0.22777777777777777,1.5513325385765367e-09
-144.0,-0.2222222222222222,4.919000127091909e-09
-144.0,-0.21666666666666667,1.95916547786541e-09
-144.0,-0.2111111111111111,4.030280597606382e-09
-144.0,-0.20555555555555555,5.080598835706255e-09
-144.0,-0.2,4.415491571849301e-09
-144.0,-0.19444444444444445,7.119163919945682e-10
-144.0,-0.18888888888888888,8.57093842677937e-09
-144.0,-0.18333333333333332,5.749374921189732e-09
-144.0,-0.17777777777777778,3.3138657993546583e-09
-144.0,-0.17222222222222222,3.168173899279176e-09
-144.0,-0.16666666666666666,8.915877565849856e-09
-144.0,-0.16111111111111112,1.7840526949562779e-09
-144.0,-0.15555555555555556,6.6892427834071374e-09
-144.0,-0.15,3.6504651094039345e-09
-144.0,-0.14444444444444443,1.6677606677318765e-09
-144.0,-0.1388888888888889,4.318684599265159e-09
-144.0,-0.13333333333333333,2.3575615647094744e-09
-144.0,-0.12777777777777777,6.236069167566621e-09
-144.0,-0.12222222222222222,2.5138611851085096e-09
-144.0,-0.11666666666666667,3.2920788385669368e-09
-144.0,-0.1111111111111111,5.7250317932152555e-09
-144.0,-0.10555555555555556,3.733141555705182e-09
-144.0,-0.1,7.2600467403014845e-09
-144.0,-0.09444444444444444,1.14711053103375e-08
-144.0,-0.08888888888888889,6.064926302165694e-09
-144.0,-0.08333333333333333,1.513966655677888e-08
-144.0,-0.07777777777777778,9.607352148508367e-09
-144.0,-0.07222222222222222,1.0364227710839561e-08
-144.0,-0.06666666666666667,9.324917135229509e-09
-144.0,-0.06111111111111111,7.954111481743148e-09
-144.0,-0.05555555555555555,5.782357121396404e-09
-144.0,-0.05,1.1292935908308123e-08
-144.0,-0.044444444444444446,5.415792344853021e-09
-144.0,-0.03888888888888889,7.15223146357174e-09
-144.0,-0.03333333333333333,1.2893134335638238e-08
-144.0,-0.027777777777777776,6.025782521400125e-09
-144.0,-0.022222222222222223,3.224122765520102e-09
-144.0,-0.016666666666666666,6.975581261153528e-09
-144.0,-0.011111111111111112,1.1914844095310856e-08
-144.0,-0.005555555555555556,7.635819660491371e-09
-144.0,0.0,1.9522424703433924e-09
-144.0,0.005555555555555556,7.635819660491371e-09
-144.0,0.011111111111111112,1.1914844095310856e-08
-144.0,0.016666666666666666,6.975581261153528e-09
-144.0,0.022222222222222223,3.224122765520102e-09
-144.0,0.027777777777777776,6.025782521400125e-09
-144.0,0.03333333333333333,1.2893134335638238e-08
-144.0,0.03888888888888889,7.15223146357174e-09
-144.0,0.044444444444444446,5.415792344853021e-09
-144.0,0.05,1.1292935908308123e-08
-144.0,0.05555555555555555,5.782357121396404e-09
-144.0,0.06111111111111111,7.954111481743148e-09
-144.0,0.06666666666666667,9.324917135229509e-09
-144.0,0.07222222222222222,1.0364227710839561e-08
-144.0,0.07777777777777778,9.607352148508367e-09
-144.0,0.08333333333333333,1.513966655677888e-08
-144.0,0.08888888888888889,6.064926302165694e-09
-144.0,0.09444444444444444,1.14711053103375e-08
-144.0,0.1,7.2600467403014845e-09
-144.0,0.10555555555555556,3.733141555705182e-09
-144.0,0.1111111111111111,5.7250317932152555e-09
-144.0,0.11666666666666667,3.2920788385669368e-09
-144.0,0.12222222222222222,2.5138611851085096e-09
-144.0,0.12777777777777777,6.236069167566621e-09
-144.0,0.13333333333333333,2.3575615647094744e-09
-144.0,0.1388888888888889,4.318684599265159e-09
-144.0,0.14444444444444443,1.6677606677318765e-09
-144.0,0.15,3.6504651094039345e-09
-144.0,0.15555555555555556,6.6892427834071374e-09
-144.0,0.16111111111111112,1.7840526949562779e-09
-144.0,0.16666666666666666,8.915877565849856e-09
-144.0,0.17222222222222222,3.168173899279176e-09
-144.0,0.17777777777777778,3.3138657993546583e-09
-144.0,0.18333333333333332,5.749374921189732e-09
-144.0,0.18888888888888888,8.57093842677937e-09
-144.0,0.19444444444444445,7.119163919945682e-10
-144.0,0.2,4.415491571849301e-09
-144.0,0.20555555555555555,5.080598835706255e-09
-144.0,0.2111111111111111,4.030280597606382e-09
-144.0,0.21666666666666667,1.95916547786541e-09
-144.0,0.2222222222222222,4.919000127091909e-09
-144.0,0.22777777777777777,1.5513325385765367e-09
-144.0,0.23333333333333334,3.1810250622090045e-09
-144.0,0.2388888888888889,2.626190242239716e-09
-144.0,0.24444444444444444,9.18539614270207e-10
-144.0,0.25,8.57366652617057e-10
-144.0,0.25555555555555554,5.52621005956157e-09
-144.0,0.2611111111111111,4.123411845950795e-09
-144.0,0.26666666666666666,1.339109446387258e-09
-144.0,0.2722222222222222,5.152294286328553e-09
-144.0,0.2777777777777778,1.7845327802051327e-09
-144.0,0.2833333333333333,3.2845966309714695e-09
-144.0,0.28888888888888886,1.685267272428853e-09
-144.0,0.29444444444444445,6.300472002791057e-09
-144.0,0.3,1.8503637243664888e-09
-144.0,0.3055555555555556,1.3076226080880104e-09
-144.0,0.3111111111111111,2.516126338400491e-09
-144.0,0.31666666666666665,1.4061043837070767e-09
-144.0,0.32222222222222224,1.205528121387759e-09
-144.0,0.3277777777777778,1.057613744541677e-09
-144.0,0.3333333333333333,2.7445716151004222e-09
-144.0,0.3388888888888889,4.068761605932393e-09
-144.0,0.34444444444444444,4.945854444625119e-10
-144.0,0.35,1.379199226356309e-09
